Comentários,Document Title,Authors,Publication Year,Abstract,PDF Link,Author Keywords,IEEE Terms,Count,Document Identifier,,Dados Utilizados,Técnicas Empregadas,Tipo de Trabalho,Contribuição de Trabalho
2,A data mining approach for preventing undergraduate students retention,Hadautho Roberto Barros da Silva; Paulo Jorge Leitão Adeodato,2012,"The Brazilian government has invested funds via the REUNI program to increase the amount of places in public universities. It has also made another important attempt to increase the number of places by approving regulations to legalize the release of the places occupied by retained students for new students. According to these regulations' retention criteria, there were around 50% of places retained by these students. This Article presents a data mining approach for assessing the risk of undergraduate student retention at the end of the second semester of course aiming at supporting the counseling of students to prevent their retention. The approach has been developed for the Federal University of Pernambuco, focusing on 6 of its major courses which involved data transformation from a database of over 400,000 subjects records, the application of logistic regression for risk assessment, and induction of rules for explaining that risk at the counseling process. The risk estimation solution reached Max_KS=0.51 and AUC_ROC=0.84 in performance. Three scenarios of 30%, 50% and 70% of efficacy in the counseling process show that the procedure should be implemented and is economically viable with decision threshold and return of investment varying according to that efficacy.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6252437,student retention;student evasion;data mining;logistic regression;a priori,Educational institutions;Data mining;Logistics;Employee welfare;Databases;Training,,IEEE Conferences,,Ensino Superior,Logistic Regression,Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística),A data science approach to Predict the University Students at risk of semester dropout: Bangladeshi University Perspective,M. A. Rafiq; A. M. Rabbi; R. Ahammad,2021,"In Bangladeshi institutions, the likelihood of student semester dropout has increased in recent years. A large number of university students, particularly in science background disciplines, are enrolled in a variety of undergraduate courses. Nevertheless, the perfection rate is poor. In general, students drop out for a variety of reasons, including academic, family, personal, and political concerns. The main focus of this study is to predict the risk of semester dropout in Bangladesh so that the massive dropout can be stopped. In this research, the current student information is preprocessed to discover the major reason as well as students whoever at the threat of semester dropout will help to grow a new structure in the area of higher education. To predict the dropout risk, random forest and logistic regression were practiced for obtaining the detection model.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9453067,Machine learning;random forest;logistic regression;dropout prediction;data science;data mining,Education;Forestry;Predictive models;Data science;Market research;Data mining;Informatics,2,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Random Forest, Logistic Regression",Avaliação,Modelo
1,A Review of IA Use in Education Analysis,J. K. Magalhães dos Santos; H. O. da Rocha; E. M. Rodrigues Okamura; V. A. Araujo Dias; L. H. Pessoa de Melo; G. B. Oliveira Viana; V. C. Rodrigues; D. A. da Silva,2023,"Higher education evasion is a problem that is present worldwide, and that has many consequences to the society as a whole. So, given the importance of this problem, a lot of literature, in the areas of computer science, psychology and statistics, was produced with the intention of predicting and trying to mitigate dropout rates in higher education. Aiming to address this problem this work makes an analysis of the literature about the topic and produce a statistical analysis of a dataset provided by INEP (National Institute of Educational Studies and Research Anísio Teixeira) that brings indicators of dropout of undergraduate courses from universities in Brazil, and a comparison was made with specific data from engineering courses at UNB using two machine learning methods: neural networks and regression. Observing the results of the model made, they show that the model could not surpass the models in the literature, however the analysis carried out revealed interesting data on dropout rates in Brazilian higher education and it is also noticed that dropout increased considerably in the pandemic period. In view of this, predictive models are very useful methods for identifying students at risk of dropout",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10344527,Prediction;Students;Dropout;University,Analytical models;Statistical analysis;Pandemics;Education;Neural networks;Psychology;Machine learning;Predictive models;Data models;Power systems,,IEEE Conferences,,Ensino Superior,Neural Network,Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística e Redes Neurais),A Simple Framework for Predicting Student Dropout Analysis Using Data Mining Algorithms,E. Balraj; P. Manikandan; P. Sakthivel,2025,"Dropout is an essential concern in the educational sector with implications for students as well as the institutions. This paper proposed a predictive model that uses machine learning techniques to identify at-risk students for dropout. Four years of data were used for 270 students on an online LMS by using different models such as Logistic Regression, Decision Tree, Naive Bayes, SVM, Random Forest, and ANN. The key features like LMS access, grades, and performance of assignments were evaluated after the data preprocessing involved cleaning and one-hot encoding. AUC measures were used for evaluating the performance of the model. Naive Bayes turned out to be the most effective model and followed by SVM. The results demonstrate the utility of machine learning for early dropout prediction, equipping educators with an important resource for intervention to help atrisk students.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10961937,Drop out;Support Vector Machine;Naive Bayes;Decision Tree;Logistic Regression;Random Forest;Artificial Neural Network,Support vector machines;Training;Logistic regression;Visual analytics;Artificial neural networks;Prediction algorithms;Bayes methods;Classification algorithms;Decision trees;Random forests,,IEEE Conferences,,Ensino Superior,"Logistic Regression, Decision Tree, Naive Bayes, Support Vector Machine, Random Forest, ANN",Proposta de Solução,Processo
"O foco principal não é a predição de evasão, e sim na construção de uma plataforma a qual coleta informações relevantes dos estudantes. No final, é utilizado o algoritmo de Regressão Logística para realizar a predição de evasão.",A Unified Digital Space for Student Academic Achievement and Dropout Statistics in India,N. Ghodichor; P. Chopde; P. Badge; M. Choudhari; S. Rangari; V. Patil,2025,"This study seeks to address the existing knowledge gap regarding the elements influencing academic performance and dropout rates within the Indian education system. The study presents a proposal for a unified digital space called the ""Interlink Platform for school, higher education, and technical education in India,"" designed to serve students, educators, administrators, and government agencies. The platform is developed to monitor students' academic achievements at various educational stages and to illustrate dropout statistics. This study employed a thorough methodology that combines data analysis techniques with visualization frameworks, utilizing Python libraries including NumPy, Pandas, Matplotlib, and Scikit-Learn. Student academic outcomes were analyzed through linear regression and K-means clustering, while dropout rates were predicted using logistic regression. This study seeks to offer institutions important insights into the elements that lead to dropout rates and to create focused interventions to tackle potential causes of dropout.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11070669,Performance Analysis;Interlinked Platform;Dropout Prediction;Educational,Technological innovation;Logistic regression;Education;Linear regression;Government;Libraries;Performance analysis;Proposals;Fifth Industrial Revolution;Monitoring,,IEEE Conferences,,"Ensino Superior, Socioeconômicos",Logistic Regression,Proposta de Solução,Ferramente/Sistema
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística e Redes Neurais),An University Student Dropout Detector Based on Academic Data,B. N. Anh; N. H. Giang; N. Q. Hai; T. N. Minh; N. T. Son; B. D. Chien,2023,"Dropout at university has become a controversial problem in recent years, resulting in severe consequences for students and universities. Our research focuses on predicting early dropout to provide school administrators with warnings about at-risk students. This enables schools to offer appropriate solutions and support. This research explores the influence of academic performance on student dropout. We evaluated the proposed method on a dataset using comprehensive information about students, subjects, and academic performance. By extracting features and grouping them based on similar characteristics, we summarized critical information from the raw database. The problem is divided into two phases: English preparation terms and Main terms, aligning with the university's program structure. However, the data on dropout status is imbalanced, and numerous essential values are missing. To address this, we employed three deep learning models: the convolution-based model (CNN), the graph convolution network-based model (GCN), and the tabular learning model (TabNet). We compared the performance of these deep learning models with traditional machine learning algorithms: logistic regression (LR), support vector classifier (SVC), and light gradient boosting machine (LGBM) with feature selection. Our deep learning models outperformed tree-based algorithms, achieving a balanced accuracy of 72% in the English preparation phase and 75% in primary terms. It is worth noting that TabNet prioritizes recall at the expense of precision, while CNN and GCN models yield more balanced results.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212223,Dropout prediction;Academic performance;Deep learning;Machine learning;Imbalance;convolutional network;Graph Convolution network;Tabular learning;Logistic regression;Feature selection,Deep learning;Training;Machine learning algorithms;Databases;Convolution;Support vector machine classification;Predictive models,2,IEEE Conferences,,"Ensino Superior, Socioeconômicos",Neural Network,Avaliação,Modelo
1,Analysing Imbalanced Dataset for Postgraduate Student Dropout Using Predictive Analytics,M. A. Bin Mohd Rosly; S. Zainudin; J. M. Kassim,2023,"Higher educational institutions face problems with increasing student dropout rates. Past research proposed multiple approaches, such as data mining, to solve this issue. However, the prediction model's ability to determine university students' dropout rate is still in its infancy. We explored various feature selection strategies (filter, wrapper and embedded) on postgraduate studies data from a public university. The dataset is imbalanced, and most of the class is students who finished their studies. The minority class is for students who have not completed their studies. The study applied an oversampling method named SMOTE on the imbalanced data in training to enable the classification algorithm to learn from a balanced dataset, thus minimising overfitting. Five supervised algorithms, Decision Tree, Random Forest, Naive Bayes, Multi-Layer Perceptron and Logistic Regression, were evaluated for the predictive model. The result shows that Random Forest is the best classification algorithm for the dataset. Random Forest produces the highest accuracy value of 100% when using the filter and embedded method and 99.878% when using the wrapper method when using test data.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10346226,classification;CRISP-DM;data mining;feature selection;imbalanced data,Training;Representation learning;Logistic regression;Machine learning algorithms;Predictive models;Feature extraction;Classification algorithms,,IEEE Conferences,,Ensino Superior,"Decision Tree, Random Forest, Naive Bayes, Logistic Regression, Neural Network",Avaliação,Modelo
O foco principal é a predição da evasão universitária utilizando o algoritmo de Regressão Logística,Application of Logistic Regression Technique for Predicting Student Dropout,B. Ujkani; D. Minkovska; L. Stoyanova,2022,"Student dropout in higher education is a complex issue and as a process it includes many factors which may affect each other. This paper explores the use and application of a probabilistic supervised machine learning technique for predicting university student dropout to obtain insights on the students at risk and prevent them from dropping out the studies. Data from a public university in the Republic of Kosovo were obtained and examined. The dataset comprises instances of students' dropouts for the past six academic years along with their demographics, grades, enrollment details etc. Logistic Regression, as one of the most widely used Machine Learning and Artificial Intelligence algorithms, was used to build the model and produce the predictions. First, a statistical analysis was conducted and after the data preprocessing, logistic regression classifier was implemented. The results show that a high prediction accuracy was reached, with a percentage of 90%, and a F1 score of 0.85, indicating that the model is performing great and the predictions results are reliable.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9920280,student dropout;higher education;machine learning;logistic regression;numpy;scikit-learn,Machine learning algorithms;Statistical analysis;Urban areas;Machine learning;Predictive models;Probabilistic logic;Prediction algorithms,7,IEEE Conferences,,"Ensino Superior, Socioeconômicos",Logistic Regression,Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística),Applying Data Mining Techniques to Predict Student Dropout: A Case Study,B. Perez; C. Castellanos; D. Correal,2018,"The prevention of students dropping out is considered very important in many educational institutions. In this paper we describe the results of an educational data analytics case study focused on detection of dropout of System Engineering (SE) undergraduate students after 7 years of enrollment in a Colombian university. Original data is extended and enriched using a feature engineering process. Our experimental results showed that simple algorithms achieve reliable levels of accuracy to identify predictors of dropout. Decision Trees, Logistic Regression and Näıve Bayes results were compared in order to propose the best option. Also, Watson Analytics is evaluated to establish the usability of the service for a non expert user. Main results are presented in order to decrease the dropout rate by identifying potential causes. In addition, we present some findings related to data quality to improve the students data collection process.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8484847,Student drop out;student desertion prediction;educational data mining;prediction models,Data mining;Correlation;PROM;Systems engineering and theory;Decision trees;Education;Principal component analysis,30,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Decision Tree, Naive Bayes, Logistic Regression",Avaliação,Modelo
2,Comparative Analysis of Prediction Techniques to Determine Student Dropout: Logistic Regression vs Decision Trees,A. Pérez; E. E. Grandón; M. Caniupán; G. Vargas,2018,"Currently, the detection of students who may drop out from an academic program is a relevant issue for universities, so there are efforts to examine the variables that determine students' drop out. Drop out is defined in different ways, however, all the studies converge in that for a student to drop out a course of study, some variables must be combined. This study presents a comparison of performance indicators of the current drop out model of the Universidad del Bío-Bío (UBB), which is based on logistic regression technique and it is compared with a new model based on decision trees. The new model is obtained through data mining methodologies and it was implemented through the SAP Predictive Analytics tool. To train, validate, and apply the model, real data from the UBB databases were used. The comparison shows that the prediction of student́ drop out of the proposed model obtains an accuracy of 86%, a precision of 97% with an error rate of 14%, better indicators than the current values delivered by the model based on logistic regression. Subsequently, the prediction model obtained was optimized considering other variables, improving even more the prediction indicators. Higher education institutions should take into account the variables that explain the most the phenomenon of student́s drop out to improve the retention of their students.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8705262,Student Dropout;Data Mining;SAP;Predictive Analytics;Logistic Regression;Decision Trees,Predictive models;Logistics;Regression tree analysis;Data models;Data mining;Software,3,IEEE Conferences,,"Ensino Médio, Socioeconômicos",Decision Tree,Avaliação,Modelo
